geometry_id,geometry_family,geometry_label,method,load_case,load_type,point_load_N,distributed_load_Nmm,max_von_mises_MPa,tip_deflection_mm,safety_factor,material_efficiency_index,stress_uniformity_MPa,mass_g,moment_of_inertia_mm4,area_mm2
SR-2.5,Solid rectangle,b/h=2.5,analytical,C1000+50,combined,1000.0,50.0,22680.45846977509,1621.093547363306,0.011022704868738005,5.511352434369001e-05,6860.102321375992,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,C1000+100,combined,1000.0,100.0,43683.7752824995,3085.9371142578593,0.00572294858636347,2.8614742931817344e-05,13241.044848072981,785.0000000000001,1333.3335000000004,200.00000000000006
IB-0.3,I-beam,bf/h=0.3,analytical,P100,point,100.0,0.0,29.388675928361124,0.6912237736739821,8.506677898977445,0.042520101963023776,8.633382166078814,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,P500,point,500.0,0.0,146.94337964180562,3.4561188683699102,1.7013355797954888,0.008504020392604754,43.166910830394066,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,P1000,point,1000.0,0.0,293.88675928361124,6.9122377367398204,0.8506677898977444,0.004252010196302377,86.33382166078813,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,P5000,point,5000.0,0.0,1469.4337964180559,34.56118868369911,0.17013355797954893,0.0008504020392604756,431.6691083039406,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,UDL10,udl,0.0,10.0,739.3871798284994,12.960445756387164,0.33811784518361193,0.0016900610818299875,223.18308731929739,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,UDL50,udl,0.0,50.0,3696.935899142497,64.80222878193582,0.06762356903672238,0.0003380122163659975,1115.915436596487,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,UDL100,udl,0.0,100.0,7393.871798284994,129.60445756387165,0.03381178451836119,0.00016900610818299875,2231.830873192974,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,TRI10,tri,0.0,10.0,249.03536941927493,3.4561188683699107,1.0038734681863644,0.00501779927865724,71.26270559130327,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,TRI50,tri,0.0,50.0,1245.1768470963746,17.280594341849554,0.2007746936372729,0.0010035598557314484,356.31352795651634,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,TRI100,tri,0.0,100.0,2490.353694192749,34.56118868369911,0.10038734681863645,0.0005017799278657242,712.6270559130327,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,C500+50,combined,500.0,50.0,3843.583600539665,68.25834765030574,0.06504346619776875,0.00032511573232249296,1157.7131567693816,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,C1000+50,combined,1000.0,50.0,3990.253057131524,71.71446651867565,0.06265266799387346,0.00031316547575819284,1199.6078565351281,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.3,I-beam,bf/h=0.3,analytical,C1000+100,combined,1000.0,100.0,7687.16720107933,136.51669530061147,0.03252173309888438,0.00016255786616124648,2315.426313538763,785.2453125000001,30139.781250000004,200.06250000000003
IB-0.5,I-beam,bf/h=0.5,analytical,P100,point,100.0,0.0,30.187391421860134,0.833454959208889,8.281603286164138,0.04138920315665858,8.877549144531562,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,P500,point,500.0,0.0,150.93695710930064,4.167274796044445,1.656320657232828,0.008277840631331718,44.38774572265782,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,P1000,point,1000.0,0.0,301.87391421860127,8.33454959208889,0.828160328616414,0.004138920315665859,88.77549144531564,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,P5000,point,5000.0,0.0,1509.3695710930067,41.67274796044445,0.16563206572328276,0.0008277840631331716,443.87745722657814,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,UDL10,udl,0.0,10.0,757.0689868739174,15.62728048516667,0.33022089708402635,0.0016503543243636032,229.49509100733292,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,UDL50,udl,0.0,50.0,3785.344934369587,78.13640242583335,0.06604417941680528,0.00033007086487272066,1147.4754550366645,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,UDL100,udl,0.0,100.0,7570.689868739174,156.2728048516667,0.03302208970840264,0.00016503543243636033,2294.950910073329,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,TRI10,tri,0.0,10.0,253.6753524147029,4.167274796044445,0.9855115903862252,0.004925319170489995,73.27813814900497,785.356818181818,24996.351756198346,200.09090909090907
IB-0.5,I-beam,bf/h=0.5,analytical,TRI50,tri,0.0,50.0,1268.3767620735146,20.836373980222227,0.19710231807724501,0.0009850638340979988,366.3906907450248,785.356818181818,24996.351756198346,200.09090909090907
